Código,Instituição executora,Estado,Estratégia do trecho,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição,Cidade
190671,Ambipar Response,Rio de Janeiro,Diário,2022-06-09,-21.476.645,-410.550.667,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190670,Ambipar Response,Rio de Janeiro,Diário,2022-06-09,-214.420.517,-410.210.817,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190669,Ambipar Response,Rio de Janeiro,Diário,2022-06-09,-214.659.817,-4.104.301,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190668,Ambipar Response,Rio de Janeiro,Diário,2022-06-09,-2.146.626,-410.434.167,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190666,Ambipar Response,Espírito Santo,Diário,2022-06-08,-203.185,-402.964,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Vitória
190664,Ambipar Response,Espírito Santo,Diário,2022-06-07,-200.788,-401.733,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Serra
190663,Ambipar Response,Espírito Santo,Diário,2022-06-07,-201.399,-40.182,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Serra
190659,Ambipar Response,Espírito Santo,Diário,2022-06-07,-201.398,-401.819,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Serra
190658,Ambipar Response,Espírito Santo,Diário,2022-06-07,-201.398,-40.182,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Serra
190636,Ambipar Response,Rio de Janeiro,Diário,2022-06-08,-228.231,-419.706,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Cabo Frio
190631,Ambipar Response,Rio de Janeiro,Diário,2022-06-05,-2.278.201.275,-4.191.625.084,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Armação dos Búzios
190629,Ambipar Response,Rio de Janeiro,Diário,2022-06-07,-225.332,-419.361,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Rio das Ostras
190627,Ambipar Response,Espírito Santo,Diário,2022-06-08,-1.841.421,-3.969.759,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Conceição da Barra
190613,Ambipar Response,Rio de Janeiro,Diário,2022-06-08,-214.207.417,-410.072.817,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190612,Ambipar Response,Rio de Janeiro,Diário,2022-06-08,-214.663.583,-410.435.517,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190611,Ambipar Response,Rio de Janeiro,Diário,2022-06-08,-214.700.283,-410.489.033,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190610,Ambipar Response,Rio de Janeiro,Diário,2022-06-08,-214.822.183,-410.589.183,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190609,Ambipar Response,Espírito Santo,Diário,2022-06-06,-203.157,-402.884,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Vitória
190603,Ambipar Response,Espírito Santo,Diário,2022-06-05,-201.429,-401.826,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Serra
